"index","x","y","expected value"
"277","2.209807","0.802686","0.814936"
"278","2.314709","0.735825","0.814652"
"279","2.314709","0.735825","0.814371"
"280","2.261088","0.771061","0.814217"
"281","2.358263","0.705643","0.813832"
"282","2.342573","0.716673","0.813488"
"283","2.468510","0.623399","0.812819"
"284","2.394688","0.679371","0.812351"
"285","2.424616","0.657109","0.811808"
"286","2.459458","0.630452","0.811176"
"287","2.433536","0.650359","0.810618"
"288","2.480810","0.613735","0.809936"
"289","2.493209","0.603899","0.809226"
"290","2.394530","0.679486","0.808780"
"291","2.273195","0.763295","0.808624"
"292","2.352502","0.709713","0.808287"
"293","2.570008","0.540966","0.807377"
"294","2.489969","0.606478","0.806696"
"295","2.436224","0.648315","0.806161"
"296","2.369697","0.697495","0.805795"
"297","2.310894","0.738403","0.805569"
"298","2.148530","0.837703","0.805677"
"299","2.145439","0.839387","0.805789"
"300","2.122923","0.851411","0.805941"
"301","2.080042","0.873112","0.806163"
"302","2.076967","0.874608","0.806389"
"303","2.058537","0.883394","0.806642"
"304","2.059217","0.883075","0.806893"
"305","2.028325","0.897147","0.807188"
"306","1.872722","0.954766","0.807669"
"307","1.725452","0.988065","0.808254"
"308","1.668578","0.995223","0.808860"
"309","1.601661","0.999524","0.809475"
"310","1.585942","0.999885","0.810087"
"311","1.513129","0.998338","0.810690"
"312","1.555848","0.999888","0.811295"
"313","1.781869","0.977807","0.811825"
"314","1.627299","0.998404","0.812417"
"315","1.503738","0.997752","0.813004"
"316","1.573704","0.999996","0.813594"
"317","1.585920","0.999886","0.814180"
"318","1.713080","0.989895","0.814730"
"319","1.645055","0.997244","0.815301"
"320","1.492753","0.996956","0.815867"
"321","1.358776","0.977608","0.816369"
"322","1.238582","0.945322","0.816768"
"323","1.280991","0.958299","0.817205"
"324","1.363774","0.978647","0.817702"
"325","1.488897","0.996648","0.818251"
"326","1.693946","0.992427","0.818783"
"327","1.691432","0.992732","0.819314"
"328","1.626649","0.998441","0.819858"
"329","1.531420","0.999225","0.820401"
"330","1.574946","0.999991","0.820944"
"331","1.302130","0.964126","0.821375"
"332","1.345704","0.974774","0.821836"
"333","1.368996","0.979707","0.822309"
"334","1.449720","0.992679","0.822817"
"335","1.511632","0.998250","0.823339"
"336","1.332034","0.971631","0.823779"
"337","1.234440","0.943963","0.824135"
"338","1.314076","0.967228","0.824557"
"339","1.236210","0.944546","0.824910"
"340","1.360323","0.977932","0.825359"
"341","1.274322","0.956372","0.825742"
"342","1.167233","0.919668","0.826016"
"343","1.177832","0.923778","0.826300"
"344","1.329840","0.971110","0.826719"
"345","1.327462","0.970540","0.827135"
"346","1.240074","0.945808","0.827477"
"347","1.306812","0.965358","0.827873"
"348","1.321341","0.969047","0.828278"
"349","1.339466","0.973362","0.828692"
"350","1.336058","0.972575","0.829102"
"351","1.415833","0.988017","0.829554"
"352","1.430673","0.990199","0.830009"
"353","1.497821","0.997338","0.830481"
"354","1.613167","0.999102","0.830956"
"355","1.450956","0.992828","0.831411"
"356","1.539486","0.999510","0.831882"
"357","1.464543","0.994360","0.832336"
"358","1.592082","0.999773","0.832802"
"359","1.467355","0.994655","0.833252"
"360","1.448413","0.992521","0.833693"
"361","1.525525","0.998975","0.834150"
"362","1.545527","0.999681","0.834606"
"363","1.602119","0.999510","0.835059"
"364","1.705286","0.990970","0.835486"
"365","1.845439","0.962522","0.835833"
"366","1.735864","0.986407","0.836243"
"367","1.685069","0.993478","0.836670"
"368","1.611188","0.999184","0.837111"
"369","1.729840","0.987379","0.837517"
"370","1.758490","0.982437","0.837908"
"371","1.858099","0.959012","0.838233"
"372","1.756815","0.982748","0.838621"
"373","1.936407","0.933906","0.838875"
"374","1.898935","0.946644","0.839163"
"375","2.020819","0.900437","0.839326"
"376","2.021288","0.900233","0.839487"
"377","2.005523","0.906985","0.839666"
"378","1.969549","0.921546","0.839882"
"379","1.903881","0.945038","0.840159"
"380","2.127548","0.848976","0.840182"
"381","2.195081","0.811382","0.840106"
"382","2.061247","0.882121","0.840216"
"383","1.962654","0.924201","0.840435"
"384","2.013563","0.903570","0.840599"
"385","1.910711","0.942783","0.840863"
"386","2.147354","0.838344","0.840857"
"387","2.252038","0.776792","0.840692"
"388","2.260538","0.771410","0.840514"
"389","2.260538","0.771410","0.840336"
